ADCdebugData[578], '?'; 0x07f,
ADCdebugData[579], '?'; 0x07f,
ADCdebugData[580], '?'; 0x07f,
ADCdebugData[581], '?'; 0x07f,
ADCdebugData[582], '?'; 0x07f,
ADCdebugData[583], '?'; 0x07f,
ADCdebugData[584], '?'; 0x07f,
ADCdebugData[585], '?'; 0x07f,
ADCdebugData[586], '?'; 0x07f,
ADCdebugData[587], '?'; 0x07f,
ADCdebugData[588], '?'; 0x07f,
ADCdebugData[589], '?'; 0x07f,
ADCdebugData[590], '?'; 0x07f,
ADCdebugData[591], '?'; 0x07f,
ADCdebugData[592], '?'; 0x07f,
ADCdebugData[593], '?'; 0x07f,
ADCdebugData[594], '?'; 0x07f,
ADCdebugData[595], '?'; 0x07f,
ADCdebugData[596], '?'; 0x07f,
ADCdebugData[597], '?'; 0x07f,
ADCdebugData[598], '?'; 0x07f,
ADCdebugData[599], '?'; 0x07f,
ADCdebugData[600], '?'; 0x07f,
ADCdebugData[601], '?'; 0x07f,
ADCdebugData[602], '?'; 0x07f,
ADCdebugData[603], '?'; 0x07f,
ADCdebugData[604], '?'; 0x07f,
ADCdebugData[605], '?'; 0x07f,
ADCdebugData[606], '?'; 0x07f,
ADCdebugData[607], '?'; 0x07f,
ADCdebugData[608], '?'; 0x07f,
ADCdebugData[609], '?'; 0x07f,
ADCdebugData[610], '?'; 0x07f,
ADCdebugData[611], '?'; 0x07f,
ADCdebugData[612], '?'; 0x07f,
ADCdebugData[613], '?'; 0x07f,
ADCdebugData[614], '?'; 0x07f,
ADCdebugData[615], '?'; 0x07f,
ADCdebugData[616], '?'; 0x07f,
ADCdebugData[617], '?'; 0x07f,
ADCdebugData[618], '?'; 0x07f,
ADCdebugData[619], '?'; 0x07f,
ADCdebugData[620], '?'; 0x07f,
ADCdebugData[621], '?'; 0x07f,
ADCdebugData[622], '?'; 0x07f,
ADCdebugData[623], '?'; 0x07f,
ADCdebugData[624], '?'; 0x07f,
ADCdebugData[625], '?'; 0x07f,
ADCdebugData[626], '?'; 0x07f,
ADCdebugData[627], '?'; 0x07f,
ADCdebugData[628], '?'; 0x07f,
ADCdebugData[629], '?'; 0x07f,
ADCdebugData[630], '?'; 0x07f,
ADCdebugData[631], '?'; 0x07f,
ADCdebugData[632], '?'; 0x07f,
ADCdebugData[633], '?'; 0x07f,
ADCdebugData[634], '?'; 0x07f,
ADCdebugData[635], '?'; 0x07f,
ADCdebugData[636], '?'; 0x07f,
ADCdebugData[637], '?'; 0x07f,
ADCdebugData[638], '?'; 0x07f,
ADCdebugData[639], '?'; 0x07f,
ADCdebugData[640], '?'; 0x07f,
ADCdebugData[641], '?'; 0x07f,
ADCdebugData[642], '?'; 0x07f,
ADCdebugData[643], '?'; 0x07f,
ADCdebugData[644], '?'; 0x07f,
ADCdebugData[645], '?'; 0x07f,
ADCdebugData[646], '?'; 0x07f,
ADCdebugData[647], '?'; 0x07f,
ADCdebugData[648], '?'; 0x07f,
ADCdebugData[649], '?'; 0x07f,
ADCdebugData[650], '?'; 0x07f,
ADCdebugData[651], '?'; 0x07f,
ADCdebugData[652], '?'; 0x07f,
ADCdebugData[653], '?'; 0x07f,
ADCdebugData[654], '?'; 0x07f,
ADCdebugData[655], '?'; 0x07f,
ADCdebugData[656], '?'; 0x07f,
ADCdebugData[657], '?'; 0x07f,
ADCdebugData[658], '?'; 0x07f,
ADCdebugData[659], '?'; 0x07f,
ADCdebugData[660], '?'; 0x07f,
ADCdebugData[661], '?'; 0x07f,
ADCdebugData[662], '?'; 0x07f,
ADCdebugData[663], '?'; 0x07f,
ADCdebugData[664], '?'; 0x07f,
ADCdebugData[665], '?'; 0x07f,
